昵称,点赞数,时间,评论
远处的风景,10,2024/7/15 10:43,这个兄弟其实讲的不是无人驾驶技术和无人驾驶汽车，讲的是就业问题[赞][赞][赞]，这下压力给了就业局了。
就这样,0,2024/8/25 20:37,最后一句  欲速则不达  总结到位
江南小哥哥,3,2024/7/14 23:57,"萝卜应该进入医疗，减少病人痛苦和金钱。
进入政府，减少窗口排队和有效作为。"
晴空看雪,67,2024/7/15 13:04,今天取代的是出租车，明天也许各位的岗位也会被取代
简约不简单,0,2024/8/10 19:31,开高铁火车？
时光拾光,0,2024/7/16 0:22,
伱逽咹ぬミ楩諟啨兲,0,2024/8/12 7:09,我早卸载百度了，一直用高德
第一步,0,2024/8/10 10:38,会有辐射吗[疑问]
坚强哥（单身）,0,2024/7/27 10:11,回农村来自己种粮自己吃，想吃什么种什么不好吗！吃起建康
锅儿是铁打的,23,2024/7/15 22:12,说的好，这真不叫科技，这是生意，人工智能最应该发展的方向是军事国防，消防救火，医院，救灾，是排爆，是航天探月，是挖矿，是通下水道，是危险品行业，是高原地区边境巡检，而不是挤压服务业人员的生存岗位！如果我把钱付给司机，他们会用于柴米油盐，资金还会流入市场，可交给ai，钱只会流向一个地方。
宣霖,64,2024/7/16 14:32,萝卜车可以代替我们政府用车～拍卖政府用车，给山区孩子建设学校。不用公务车、不用聘请司机师傅节约很多政府开支。
醍醐,0,2024/7/14 17:43,为什么不在坦克上无人驾驶技术，然后卖出去，提升我们的军售。
nik！耶???,73,2024/7/14 23:24,人工智能不是最应该发展的方向是救灾，是排爆，是航天探月，是医疗领域，是挖矿，是通下水道，是危险品行业，是高原地区边境巡检，是人类无法完成的项目才是为人类造福，而不是抢那些服务人员的生存岗位。
无名之辈 1688,34,2024/7/15 12:13,最近的无人驾驶确实对我没有什么影响，但让我很担忧，担忧下一代人的出路，以后考不上，连去打工的机会都没有。真的让我很堪忧
（恭囍发财）,1,2024/7/27 3:35,希望多搞点机器人去代替学校老师，电脑机器人都可以代替。
Judy??,16,2024/7/15 16:28,我为崔磊点赞[赞]
我心向阳,1,2024/8/4 16:12,"科技要以人为本
就业是重大民生啊[感谢][感谢][感谢]
无人驾驶可以私家车使用的啊"
中国杰,0,2024/7/14 13:57,不用公共交通开道，就没办法普及，
兜里有糖????????,12,2024/7/14 23:26,如果科技无法阻挡，那就让更多人受益。那就国家接管，形成AI智能链条，所得收益造福于民。我们也不是非要辛苦工作。
茗茶閣&锋哥,7,2024/7/14 15:00,如果遇到黑客攻击，将是什么后果？
沾枝温,0,2024/8/1 13:23,那原来东北钢铁老大哥们还不是该下岗下岗，该转业转业。已经发展到一定趋势，注定一些在节点的人是不得不接受的
一篇游记,1,2024/7/26 10:03,崔磊说的对，满怀热忱
天天快洗 全自动洗车,385,2024/7/14 23:34,别的不好说，萝卜快跑在重庆一定行不通！[抠鼻]
一半,0,2024/7/14 22:23,以前街上多热闹，现在呢[捂脸][捂脸]
成功,0,2024/8/9 1:07,
裸着的上半身,0,2024/8/9 15:06,要人干嘛呢？
冬天de微笑,216,2024/7/15 14:43,说的好，这真不叫科技，这是生意，人工智能最应该发展的方向是军事国防，消防救火，医院，救灾，是排爆，是航天探月，是挖矿，是通下水道，是危险品行业，是高原地区边境巡检，而不是挤压服务业人员的生存岗位！如果我把钱付给司机，他们会用于柴米油盐，资金还会流入市场，可交给ai，钱只会流向一个地方。
端错杯,7,2024/7/15 13:14,"我就说  研究这种科技为啥不研究研究  用在医疗上  比如中医  让全国人都能看上病
都能看得起病
用在国防上  用在守边境上  让我们可爱的战士少牺牲点 用上高科技守边疆  让我们的戍边英雄 每年都零伤亡 
这只是我的个人观点 不喜勿喷[捂脸]"
小哥,0,2024/7/14 19:14,政府以后可以想用机器管人
颤抖吧！肿瘤君,18,2024/7/14 21:51,照这样下去，感觉都不需要再生小孩了，生产机器就够了[捂脸]
谷歌,31,2024/7/15 0:19,为什么这种智能车不在政府，企，事业单位运行，也是省去不小的一笔开支。
易界小学生,1,2024/7/14 17:38,政府会注意，民食不稳社会岂能稳
九门老猫,255,2024/7/16 1:09,好像百度李彦宏的国籍早就不是中国了[捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸]
淡看扯蛋的青春,9,2024/7/15 10:07,汽车取代马车 它取代的是工具 马夫可以考证开车   无人驾驶它取代的是人
猫三酒类专营店,0,2024/7/28 22:04,私家车无人是可以的 不用驾照了
抖看盐生,11,2024/7/15 19:10,这不是网约车与出租车的事！这关系到大家所有人的饭碗，将来谁都可能被人工智能所取代！若我们被取代未来将何去何从？
?雄,29,2024/7/14 14:46,无人驾驶撞死人怎么判刑？
初哥,1,2024/7/28 3:36,为农民多开发些AI吧
宁,7,2024/7/15 6:46,日本还有人力车中国就自动驾驶中国科技比日本发达
门牛,9,2024/7/15 12:45,我为崔磊点赞[赞]
达州市鸿飞物流有限公司,0,2024/7/27 10:26,科技进步，必须的，不能国外管控，上市，
许,7,2024/7/15 0:29,1000万出租车，几千万滴滴，影响近亿人口
晨曦,55,2024/7/14 13:57,两千三百年前有个什么改革？商鞅变法？
阿光??,0,2024/7/14 21:50,优步中国业务给某滴收购变成独大了。
毕侬翁萨,0,2024/8/7 23:48,从公务车开始
T T,0,2024/8/5 6:28,现在是出租司机饭碗被抢，以后就有可能是其他人的工作
马不停蹄,726,2024/7/15 22:09,说的好，这真不叫科技，这是生意，人工智能最应该发展的方向是军事国防，消防救火，医院，救灾，是排爆，是航天探月，是挖矿，是通下水道，是危险品行业，是高原地区边境巡检，而不是挤压服务业人员的生存岗位！如果我把钱付给司机，他们会用于柴米油盐，资金还会流入市场，可交给ai，钱只会流向一个地方。
L.潮牌,16,2024/7/15 1:17,今天ai抢了运营业，明天就可以取代制造业，后天就可以替代餐饮业，，大后天呢？？
洋钉子,0,2024/8/6 17:50,"这不显着科技含量高吗
取代不取代岗位无所谓主要是能在国际上旋一下"
BOSS、田,0,2024/7/15 23:36,
如来神掌，以诚待人,14,2024/7/15 12:34,外国控制的芯片，摄像头，数据，雷达传感器，双方打起来，就是一辆辆满街游走的炸弹。
金诺故事汇,0,2024/7/15 7:17,商鞅变法2300年前
哈喽！三克油,25,2024/7/15 16:01,可否锁定萝卜的老板，所有资产严禁外流
永風,9,2024/7/14 16:04,我很少点赞视频，这个赞必须给你！[赞]
开心幺妹??,0,2024/8/3 18:48,坚决不座，没有为什么。
建哥,19,2024/7/15 0:49,有本事把民航飞机也搞个无人驾驶，培养一个飞行员太费钱了[看][看]
TaoGe,22,2024/7/15 17:10,建议无人驾驶首先进入国家机关
峰“味”,0,2024/8/1 9:16,就是模仿网约车的模式   抢占市场
??妖妖,15,2024/7/15 9:15,我就不信，萝卜不是为了挣钱
等起风,0,2024/8/17 18:41,无人技术你也不能让网约车司机失业呀～[看]
雨玲,0,2024/7/15 0:44,这不是一般的工业变化，新人类对抗现在人类。我们现在对抗的不是意识形态，是新“人类”
王笑天「」,0,2024/7/28 5:02,听的 心酸 讲的好[赞]
The DeadkNight,2,2024/7/16 15:09,为什么人工智能不能先落地医疗改革和透明的医疗系统呢 [抠鼻]
国棠,0,2024/7/14 22:21,有关键论证点，好，1000万个家庭要吃饭！！
相遇抖音,459,2024/7/15 9:38,公务车自动驾驶，这个建议好[赞][赞][赞]
凡尘过客,0,2024/7/15 16:31,如果人工智能能取代那些职能部门老百姓的怨言会不会就少多了啊
（线材哥）板桥赵园德丰新能源电动车商行,269,2024/7/14 14:52,应该政府公务车，全部用这个
????永恒de诗????,10,2024/7/15 16:42,说的太好了！他们搞的我们拒绝萝卜快跑就跟拒绝科技进步一样。真的会混淆视听啊！[赞][赞][赞]
阳光楠,0,2024/7/15 0:20,为什么这么多人反对科技进步呢？无人驾驶现在是实验期，全民无人驾驶的时候，司机买一台无人驾驶，在家里躺着，车自己就出去给他赚钱了。这才叫躺赚
简单幸福君姐,42,2024/7/15 15:47,说的好，这真不叫科技，这是生意，人工智能最应该发展的方向是军事国防，消防救火，医院，救灾，是排爆，是航天探月，是挖矿，是通下水道，是危险品行业，是高原地区边境巡检，是丢失的那些孩子怎么找，而不是挤压服务业人员的生存岗位！如果我把钱付给司机，他们会用于柴米油盐，资金还会流入市场，可交给ai，钱只会流向一个地方。
归于平淡,23,2024/7/15 11:24,科技要用于兴国，而不是欺民[流泪]
一凡,1,2024/8/1 20:44,无人驾驶可以但是不能抢网约车司机的饭碗
视效梦工场????,0,2024/8/7 3:38,何止出租司机，大客，打卡，都可以取代，所以要取代的是人；[捂脸]
还想年青,8,2024/7/15 3:00,中国的速度看起很快，可好多人不知家何在
王剑,0,2024/7/15 10:49,改革开放之前没有出租车…不是很好吗…出租车宅客的还少吗
Cc卡卡cC,47,2024/7/19 13:21,合肥已经叫停！我相信各地也会陆陆续续叫停！
！,1,2024/8/2 20:46,之前给比亚迪送货，偌大的车间只有一个人控制电脑就行
恒裕海鲜,0,2024/8/6 16:30,第一次见小崔如此义愤填膺[赞]
yyyooo,0,2024/7/15 19:28,科技[赞]，但做成生意了[看]，这生意就必须不低于一半的税收制度实现再分配
_雅墨,7,2024/7/15 2:47,我支持无人驾驶科技，所以我觉得更加应该从政务商务司机开始执行。然后顺便再执行无人政务中心!!!!!!
"l,love,my,country@小新",1,2024/8/2 8:52,现在厂里都是全部AI智能机器人你们怎么说[捂脸]
????木公,7,2024/7/15 18:15,科技发达是让人类工作轻松的不是让人没饭吃的。这是谁的主意
摩天轮之心,0,2024/7/26 12:48,马歇尔集团无人智能坦克向你问好！[赞]
Batman????,0,2024/7/16 15:05,结尾的说法有点不太对，变法失败是动了太多权贵的利益，但是这回emm是普通人
老四,0,2024/8/4 17:36,好怀恋原始社会
叶秋,0,2024/7/15 0:08,跟政府聊聊吧，没有政府的许可，他们能干得了吗
??,9,2024/7/15 15:08,我给我老公说，他是这么分析问题的，他说这些无人驾驶的车出来，刚开始价格都会很低，然后把市场垄断了以后，价格就上来了，还是资本的运作！
点支??,7,2024/7/15 15:33,人工智能最应该发展的方向是军事国防，消防救火，医院，救灾，是排爆，是航天探月，是挖矿，是通下水道，是危险品行业，是高原地区边境巡检，而不是挤压服务业人员的生存岗位！李彦宏，[敲打][敲打][敲打]
非洲崔哥,0,2024/8/5 7:08,由出租车司机优先认购无人驾驶出租车，可以人驾，也可机驾。
明 心,14,2024/7/15 12:43,最可怕的是一旦发生战争，我们就被布局了
苏三弟,28,2024/7/15 0:08,看看娃哈哈矿泉水为什么用纸质包装，因为纸皮可以卖钱
独处,0,2024/7/15 2:21,百度真正目的是借着无人驾驶上市拉高股价狂赚大量的资本。
用户3136785598794,0,2024/8/5 20:41,不以人为本的科技都不是好科技[捂脸]
william7,2,2024/7/16 20:32,
二皮,0,2024/7/15 15:23,历史上每一次大变革，都提供了新的上下游衍生的无数岗位，比被淘汰的岗位多的多，这次的事件被提到的替代岗位都是已有的，还没看到实质的替代岗位，被淘汰的确已经落地了。出租车这个口子开了，将会以极快的速度进入各个行业，那真正的变革可能就来了。
亮,0,2024/7/15 13:12,增加劳动力人口，增加税收，增加科技训练
茉莉晨曦,0,2024/7/30 19:31,三观真正，果断关注
三金,12,2024/7/15 20:31,你说的很对，但是片面了，因为特斯拉的fsd马上就来，你不上无人驾驶，特斯拉会上，如果你有一台特斯拉，送你上班，然后自己去接活，下班带着300块钱来接你，你觉得我们国家车企还有活路吗？为什么国家这么着急，1000万人失业国家比你更担心，但是没办法，我相信我们的国家会有应对的方法，作为一个为思考点赞的博主，你这样煽动群众的情绪是为了流量呢还是为了什么？建议你思考的在全面一些
如意小喵,13,2024/7/14 23:57,为什么他们不用在政府用车呢[酷拽]
青春帅气的仔,0,2024/8/6 15:08,谢谢你，为我们网约车司机出租车司机发声
司仪快乐人儿,8,2024/7/15 13:07,路上无人驾驶车多了，如果后台被黑客入侵，那路上是不是都是敌人的武器。地图分分钟被窃取[泣不成声]
积极分子,11,2024/7/15 9:58,以后我的工作也被萝卜取代，所以我反对萝卜
大唐天子,8,2024/7/15 6:23,为什么不能让私家车先拥有无人驾驶
A伤逝的风,0,2024/8/1 10:10,我反正全卸载了百度
阿春哥,0,2024/8/4 11:19,网约车司机要失业了[捂脸]
平凡之路,0,2024/7/14 23:24,"一个出租车是两个家庭，白班夜班。一个城市有多少出租车……多少个家庭面临朝不保夕。
无人驾驶出租车技术真的成熟吗？
交警怎么指挥？交通临时管制时是否能配合交警指挥？刮风天气是否能正常通行？雷达是否能感应到？发生车祸是否无人驾驶出租车能送伤着及时就医？万一黑客入侵系统这些无人驾驶出租车是不是和杀手一样？事情结束多少个家庭找谁讨个公道、就是运营商冰冰凉凉的一句话，系统失控吗？"
零度,15,2024/7/16 21:04,"可以用，但有三个要求：
1.把利润的百分之80分给全国老百姓直接到账那种，15%给国家，4%给公司运营，1%给老板。
2.如果路上出现任何事故，100%全责。
3.这种公司不能是有限责任公司。必须无限责任公司"
楠楠汐爱分享????,46,2024/7/15 9:18,“这不是我三千块一个月想的事情”
??没吃饭的饭??,0,2024/7/15 1:15,"相关部门没发声，主流媒体没评论，现在只是一些博主在说话！上面真的看不见吗？
让子弹飞一会儿"
向日葵的执着,7,2024/7/15 19:05,人工智能最应该发展的方向是救灾，是排爆，是航天探月，是挖矿，是通下水道，是危险品行业，是高原地区边境巡检，而不是挤压服务业人员的生存岗位。1000个司机养活1000个家庭，1000个萝卜只能养活一个资本家，对饭店，小卖部，汽车行业相关人员都有绝对冲击
二蛋小哥,8,2024/7/16 10:21,不要把百姓的唯一求生的稻草也断了[感谢]
哈哈哈我,0,2024/7/16 9:19,为人民服务，不是为资本服务
梦幻小龟龟,42,2024/7/15 8:27,"[抠鼻]以前100个人的100块流向100个人
现在可以只流向一个人[不失礼貌的微笑]"
冰城无梦,22,2024/7/15 23:36,无人驾驶这个行业如果是国家掌控的我支持，因为挣了钱会回报给国人，但是私人企业拥有觉不支持
期待^_^^_^^_^,0,2024/7/15 11:12,没办法，政府允许的，至于为什么允许上路运营还不知道，也许是为了更多人就业吧
元素Scratch?????,9,2024/7/14 14:40,我认为出租车司机是一个城市最好的名片
新月哥,7,2024/7/15 0:56,我们担心的就是被取代，早说晚说，早痛晚痛，都不如直接下结论，技术是要为人服务的，而不是为资本服务！
81163977251,0,2024/7/15 8:07,看看俄乌战场！无人机多牛！必须要去推广实施！让上A1有学习升级的机会
星  辰,7,2024/7/15 7:21,人工智能，收益是一个人的，靠一个人能带动整个国家的消费吗，肯定是不能的，人力付出得来的钱，可以消费到各大领域，能实现全民有钱赚有钱花！
随缘,27,2024/7/15 9:19,投放不投放无人出租车我们老百姓说了不算，但是我可以不去座无人出租车啊
淡然2019,0,2024/8/4 14:29,消防扑火??，救人最需要无人驾驶
何呵呵,8,2024/7/15 6:22,汽车火车发明的时候，人力车和马车也这么想的
畅行宇宙,8,2024/7/19 6:28,不如恢复马车，创造更多就业，[微笑]
酥甜,2,2024/7/31 11:07,萝卜来了大家快点跑，丢掉萝卜。这样会有多少人失业，失业怎么生活？
Yang ??He,315,2024/7/16 4:38,"如果生孩子是社会的责任，那就请社会履行抚养义务。
如果生孩子是个人的责任，那就请社会尊重个人的选择。
句句不谈薪资，条条不离奉献；
桩桩不谈好事，事事皆讲境界。
如果个体的困顿和集体无关，那集体的荣辱和个体又有何关系？"
轻笑-尘埃,0,2024/7/15 12:01,早上看到这样一条评论
想飞的鱼,7,2024/7/15 5:57,"出租车司机，网约车司机心里苦
在武汉太难了[泣不成声]"
清朝老摇子,12,2024/7/14 22:56,"人工智能：
       最应该发展的方向是救灾，是排爆，是航天探月，是医疗领域，是挖矿，是通下水道，是危险品行业，是高原地区边境巡检，是人类无法完成的项目才是为人类造福，而不是抢那些服务人员的生存岗位！不要为了营造自己的利益资本化，说的这么高大尚冠以【人工智能】"
向日葵化纤绳网,0,2024/7/16 12:27,政府真：得好好考虑考虑这关系到全国人民的生计问题
聽風者,504,2024/7/14 18:03,最近无人驾驶成为热点，众多博主人云亦云，只有崔磊替基层说话，说到了咱心坎里，为崔磊点赞！[一起加油][一起加油][一起加油]
扫地僧,31,2024/7/15 11:40,人工智能最应该发展的方向是军事国防，消防救火，医院，救灾，是排爆，是航天探月，是挖矿，是通下水道，是危险品行业，是高原地区边境巡检，而不是挤压服务业人员的生存岗位！中国人顶起来[赞][赞][赞]我支持武汉出租车司机的做法
用户4660508525901,0,2024/7/16 9:38,个人只有发发牢骚，制止只有政府出手才有郊果
草原灰太狼,13,2024/7/15 0:13,有些人根本不懂无人技术，无人技术是大脑它能适用各种场景，只是用到了出租车，用到了最没有用的地方
星洛,10,2024/7/16 12:48,好小子，你是会解说的，吃反向流量[看]
金鸿龟鳖养殖场,0,2024/7/15 1:31,社会的发展、科技的进步、国家的强大老百姓不反对。科技要老百姓仅仅生存的最后的那颗救命的稻草。
来瓶82年的矿泉水,18,2024/7/14 14:07,这期我挺您[赞][感谢]
静若兰心,82,2024/7/15 3:40,我只知道萝卜赚钱就那几个人，司机赚钱可以大众消费
空山心语,0,2024/7/15 5:51,替代人的劳动是手段，而帮助人的生活是目的。应实现手段与目的统一，否则就是盘剥。
韦永生,0,2024/8/18 16:27,看到大多数人都支持你的说法，不敢反对了[捂脸]。但是时间会见证谁对谁错
dy7avry9ogsj,9,2024/7/17 15:51,再不开始，国外的萝卜就要来了
用户5166336345183,0,2024/7/15 7:12,不会马上取代的，有时间给一些人做准备，每个人都会面对这个问题，以前的公交车售票员，现在几乎没有了，他们学习新技能从事新岗位，粮油店的营业员在有了超市后也转岗了
珍惜当前,0,2024/7/28 5:34,诚心诚意的感谢为老百姓说话的人！[感谢][感谢][感谢][感谢][感谢][感谢]
??飞亮健,8,2024/7/15 11:53,我就想知道他凭啥不上车牌
传奇,0,2024/8/4 7:58,支持无人奥运会
别想静静,16,2024/7/15 10:39,"如果肚子不舒服
又找不到厕所的情况下，可以打一个萝卜不？"
冬至?,0,2024/7/15 1:43,百度背后的资本是谁？哪个国家的？
疯锅,11,2024/7/14 23:50,难得见主播比较有情绪，我的看法与主播一致。高新技术应该用到哪里？
谦着你去流浪,13,2024/7/15 16:46,人工智能最应该发展的方向是救灾，是排爆，是航天探月，是挖矿，是通下水道，是危险品行业，是高原地区边境巡检，而不是挤压服务业人员的生存岗位！
李强爱听曲,0,2024/7/15 12:35,其实也没关系的，国家可以和香烟一样把它的收入收75%的税！这部分收入专项用于低收入群体的社会保障！
事实派,8,2024/7/14 14:07,为崔磊点赞，为思考点赞
树宝宝,7,2024/7/15 11:11,N年后萝卜快跑的电池怎么处理？百度出来解释一下，明明就不需要那么多勺萝卜
张,0,2024/7/16 0:04,ai代替人类，提价都不怕，就怕他降价！提价最起码又巨大利润，国家有办法增加共同富裕呀！怕就怕恶性循环既减少了就业岗位，企业收入只能够养活自己很低利润，那么1000万人就是白丢了岗位！
一个韭零后,8,2024/7/14 20:15,历史的车轮，只会被延迟，不会被阻挡，做好心态建设，准备迎接现实，寻找下一个工作吧
23号仔,0,2024/7/15 18:11,这东西要服务人类，政府税收要跟上，把税收补贴给居民生活
温州农民,7,2024/7/14 18:24,感觉这无人驾驶出租车占比5～10%以内最好，也要给人工出租车一点生计，
涅槃了然,14,2024/7/14 15:34,技术不反对，反对的资本的垄断
573,0,2024/7/15 10:48,萝卜如果没有政府股份里面这项目能通过，下一步就是萝卜货运
cb波波,13,2024/7/15 0:55,其实无人驾驶可以先利用在公交车和扫地车等地方作为实验。没必要一开始就替代网约车和出租车。哪怕要代替也应该利用在晚上12点以后，晚上打车挺难打的
汪俊言,24,2024/7/15 5:54,很好破局，再便宜大家不去坐
